Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
6/4/2025,12:00:00 AM,143.894,143.985,143.635,143.918,514,0,48
6/4/2025,1:00:00 AM,143.918,144.035,143.897,143.955,912,0,13
6/4/2025,2:00:00 AM,143.951,144.027,143.794,143.812,2059,0,13
6/4/2025,3:00:00 AM,143.808,144.02,143.769,143.984,4678,0,13
6/4/2025,4:00:00 AM,143.984,144.272,143.663,143.747,4846,0,13
6/4/2025,5:00:00 AM,143.75,143.967,143.695,143.916,3214,0,13
6/4/2025,6:00:00 AM,143.916,144.097,143.828,144.05,2803,0,13
6/4/2025,7:00:00 AM,144.049,144.274,143.974,144.246,2748,0,13
6/4/2025,8:00:00 AM,144.246,144.376,144.128,144.203,3327,0,13
6/4/2025,9:00:00 AM,144.198,144.308,143.876,143.965,4503,0,13
6/4/2025,10:00:00 AM,143.966,144.087,143.788,144.079,4199,0,13
6/4/2025,11:00:00 AM,144.079,144.172,143.837,143.88,3555,0,13
6/4/2025,12:00:00 PM,143.88,144.095,143.843,144.084,3235,0,13
6/4/2025,1:00:00 PM,144.083,144.303,144.043,144.243,3748,0,13
6/4/2025,2:00:00 PM,144.242,144.306,144.133,144.262,3082,0,13
6/4/2025,3:00:00 PM,144.263,144.264,143.497,143.546,5845,0,13
6/4/2025,4:00:00 PM,143.544,143.824,143.504,143.688,5206,0,13
6/4/2025,5:00:00 PM,143.409,143.544,142.984,143.124,7284,0,13
6/4/2025,6:00:00 PM,143.13,143.22,142.905,142.909,5394,0,13
6/4/2025,7:00:00 PM,142.908,142.912,142.597,142.631,3802,0,13
6/4/2025,8:00:00 PM,142.632,142.774,142.621,142.765,3109,0,13
6/4/2025,9:00:00 PM,142.765,142.827,142.705,142.798,2849,0,13
6/4/2025,10:00:00 PM,142.798,142.917,142.779,142.874,2304,0,14
6/4/2025,11:00:00 PM,142.875,142.889,142.698,142.713,1518,0,13
6/5/2025,12:00:00 AM,142.717,142.791,142.673,142.736,393,0,32
6/5/2025,1:00:00 AM,142.736,142.823,142.719,142.765,1449,0,13
6/5/2025,2:00:00 AM,142.764,142.823,142.522,142.718,2702,0,13
6/5/2025,3:00:00 AM,142.718,142.842,142.603,142.658,4799,0,13
6/5/2025,4:00:00 AM,142.658,142.965,142.563,142.913,4226,0,13
6/5/2025,5:00:00 AM,142.913,142.964,142.806,142.882,3144,0,13
6/5/2025,6:00:00 AM,142.883,143.016,142.694,142.986,3361,0,13
6/5/2025,7:00:00 AM,142.986,143.066,142.892,143.022,2938,0,13
6/5/2025,8:00:00 AM,143.02,143.165,142.995,143.145,2943,0,13
6/5/2025,9:00:00 AM,143.139,143.232,143.022,143.223,3784,0,13
6/5/2025,10:00:00 AM,143.223,143.385,143.065,143.338,3976,0,13
6/5/2025,11:00:00 AM,143.338,143.392,143.246,143.271,3582,0,13
6/5/2025,12:00:00 PM,143.271,143.292,143.106,143.21,3583,0,13
6/5/2025,1:00:00 PM,143.213,143.216,143.022,143.125,3074,0,13
